iter	Passed	Remaining
906	17139	1757
907	17155	1738
908	17174	1719
909	17196	1700
910	17215	1681
911	17235	1663
912	17253	1644
913	17271	1625
914	17290	1606
915	17314	1587
916	17333	1568
917	17348	1549
918	17366	1530
919	17378	1511
920	17391	1491
921	17408	1472
922	17423	1453
923	17438	1434
924	17452	1415
925	17468	1395
926	17482	1376
927	17497	1357
928	17513	1338
929	17530	1319
930	17543	1300
931	17556	1280
932	17569	1261
933	17582	1242
934	17593	1223
935	17606	1203
936	17619	1184
937	17632	1165
938	17647	1146
939	17662	1127
940	17675	1108
941	17688	1089
942	17703	1070
943	17722	1051
944	17735	1032
945	17749	1013
946	17761	994
947	17776	975
948	17793	956
949	17809	937
950	17827	918
951	17847	899
952	17864	881
953	17878	862
954	17893	843
955	17908	824
956	17924	805
957	17940	786
958	17957	767
959	17973	748
960	17989	730
961	18002	711
962	18015	692
963	18029	673
964	18043	654
965	18055	635
966	18070	616
967	18087	597
968	18101	579
969	18113	560
970	18128	541
971	18144	522
972	18162	503
973	18178	485
974	18194	466
975	18210	447
976	18223	429
977	18237	410
978	18255	391
979	18269	372
980	18287	354
981	18303	335
982	18318	316
983	18334	298
984	18347	279
985	18363	260
986	18380	242
987	18394	223
988	18409	204
989	18422	186
990	18437	167
991	18451	148
992	18467	130
993	18481	111
994	18498	92
995	18522	74
996	18539	55
997	18553	37
998	18565	18
999	18580	0
